id,category,title,description,content,example,keywords
1,Internal,TOA Project Structure,"How the TOA codebase is organized","The TOA project uses a modular architecture with separate backend (FastAPI) and frontend (Next.js) folders. The backend handles RAG processing with ChromaDB, while the frontend provides a chat interface. Vector embeddings are stored in chrome_langchain_db directory.","project/\n├── backend/\n├── frontend/\n├── data/\n└── venv/","toa,project structure,architecture"
2,Internal,TOA RAG Pipeline,"Custom retrieval pipeline implementation","TOA uses a custom RAG pipeline where documents are chunked, embedded with mxbai-embed-large model, and stored in ChromaDB. Queries retrieve top 5 most relevant chunks which are passed to Llama 3.2 for context-aware responses.","vector_store = Chroma(\n    collection_name='Programming_Concepts',\n    embedding_function=embeddings\n)","rag,retrieval,chromadb,embeddings"
3,Internal,TOA API Endpoints,"Custom API routes for the copilot","TOA FastAPI backend exposes /chat for AI responses, /health for status checks, and /upload for future file processing. All responses include source attribution from the vector database.","@app.post('/chat')\ndef chat_endpoint(request):\n    return {'response': result}","fastapi,endpoints,api routes"
4,Internal,TOA Context Window,"How context is managed in TOA","TOA uses a sliding context window of 5 previous messages. Each user query retrieves fresh context from the vector store to ensure up-to-date information without hallucination from old conversations.","context_window = 5\nretriever.search_kwargs = {'k': 5}","context,memory,conversation"
5,Internal,TOA Error Handling,"Custom error management system","TOA implements custom error handling for Ollama connection issues, ChromaDB failures, and malformed user inputs. Errors are gracefully handled with user-friendly messages in the frontend.","try:\n    response = chain.invoke(...)\nexcept Exception as e:\n    return error_message","error handling,exceptions,reliability"
6,Internal,TOA Model Configuration,"Specific model settings used","TOA is configured with Llama 3.2 for chat responses and mxbai-embed-large for embeddings. Temperature is set to 0.1 for consistent responses, and top-p is 0.9 for creativity balance.","model = OllamaLLM(model='llama3.2')\nembeddings = OllamaEmbeddings(model='mxbai-embed-large')","llama,model config,embeddings"
7,Internal,TOA Deployment Setup,"How to deploy TOA locally","To run TOA: 1) Start backend with 'python main.py', 2) Start frontend with 'npm run dev', 3) Ensure Ollama is running with required models. Backend runs on port 8000, frontend on port 3000.","cd backend && python main.py\ncd frontend && npm run dev","deployment,setup,local development"
8,Internal,TOA Vector Search,"Custom similarity search implementation","TOA uses cosine similarity with ChromaDB to find relevant documents. The retriever fetches top 5 matches based on semantic similarity to the user query for optimal context retrieval.","retriever = vector_store.as_retriever(\n    search_kwargs={'k': 5}\n)","vector search,similarity,cosine"
9,Internal,TOA Prompt Engineering,"Custom prompt templates used","TOA uses carefully engineered prompts that include context placeholders and specific instructions for the model to base responses on retrieved documents rather than general knowledge.","template = 'Use context: {context} to answer: {question}'","prompts,templates,engineering"
10,Internal,TOA Session Management,"How user sessions are handled","TOA maintains session state through conversation IDs. Each chat session preserves context separately, allowing multiple users or topics without interference between conversations.","session_id = 'user-123'\nmemory = ConversationBufferWindowMemory(k=5)","sessions,memory,state management"
